root	gloss_fil	pos	source
aniani			Samson p49 [unknown/low]
aniawad			Kapampangan-English-Pilipino wordlist p4 [unknown/low]
aniaya		noun	Samson p49 [unknown/low]
anib-biung		noun	Samson p49 [unknown/low]
anibong		noun	Samson p49 [unknown/low]
anid		noun	Samson p49 [unknown/low]
anidyu		N	PALI:a:nidyu
anig-guan		noun	Samson p49 [unknown/low]
anilio		noun	Samson p49 [unknown/low]
animal		N	PALI:anima’l
animas		noun	Samson p49 [unknown/low]
animismo		noun	Samson p50 [unknown/low]
animo		noun	Samson p50 [unknown/low]
animu			Kapampangan-English-Pilipino wordlist p4 [unknown/low]
aninag		adjective	Samson p50 [dictionary_explicit/high]
aninauan			Samson p50 [unknown/low]
anino		noun	Samson p50 [unknown/low]
anis		noun	Samson p50 [unknown/low]
anito			Samson p50 [unknown/low]
anitu			Kapampangan-English-Pilipino wordlist p4 [unknown/low]
aniversario		noun	Samson p50 [unknown/low]
ankora		noun (OCR: printed as 'ft.')	Samson p47 [dictionary_explicit/high]
anluagi			Samson p50 [dictionary_explicit/high]
ano		noun	Samson p50 [dictionary_explicit/high]
anomalia		noun	Samson p50 [unknown/low]
anonas		noun	Samson p50 [dictionary_explicit/high]
anonima			Samson p51 [unknown/low]
anta		noun	Samson p51 [unknown/low]
antabe			Kapampangan-English-Pilipino wordlist p4 [unknown/low]
antac			Samson p51 [unknown/low]
antak		N	PALI:a’ntak
antala			Samson p51 [unknown/low]
antanen			Samson p51 [dictionary_explicit/high]
antartiko		noun	Samson p51 [unknown/low]
antas		noun	Samson p51 [unknown/low]
ante			Mirikitani p899 [unknown/low]
antehuelas			Samson p51 [unknown/low]
anti		Q	PALI:anti
anti-		N	PALI:anti-
anti-cristo			Samson p51 [AI_proposed/medium]
antideluvio			Samson p51 [unknown/low]
antigu			Kapampangan-English-Pilipino wordlist p4 [unknown/low]
antiguo		adjective	Samson p51 [dictionary_explicit/high]
antik			Kapampangan-English-Pilipino wordlist p4 [unknown/low]
antike			Samson p51 [unknown/low]
antimano		conjunction	Samson p51 [dictionary_explicit/high]
antimanu			Kapampangan-English-Pilipino wordlist p4 [unknown/low]
antimo		conj	SEED-FUNC
antimurin			Samson p51 [unknown/low]
anting		V	PALI:anti’ng
anting-		N	PALI:anting-
anting-anting		noun	Samson p51 [unknown/low]
antipa		noun	Samson p51 [unknown/low]
antipalo		noun	Samson p51 [dictionary_explicit/high]
antipathetic			Samson p51 [unknown/low]
antipatiya		noun	Samson p51 [unknown/low]
antipolo		noun	Samson p51 [unknown/low]
antiseptiko		adjective	Samson p51 [unknown/low]
antisipo		noun	Samson p51 [unknown/low]
anto		adverb	Samson p51 [unknown/low]
antolohiya		noun	Samson p51 [unknown/low]
antropolohiya		noun	Samson p51 [unknown/low]
antun			Samson p51 [dictionary_explicit/high]
anuebe			Mirikitani p899 [unknown/low]
anunsiyu			Kapampangan-English-Pilipino wordlist p4 [unknown/low]
anya		Subcombiner	PALI:anya’q
anyaya		V	PALI:anya’ya
anyeho		N	PALI:anye’ho
anyu		noun	Samson p54 [dictionary_explicit/high]
anyud		noun-verb	Samson p54 [dictionary_explicit/high]
anyus		noun	Samson p54 [dictionary_explicit/high]
aonse			Mirikitani p899 [unknown/low]
ap-pia		noun	Samson p57 [unknown/low]
apa		N	PALI:a’pa
apadala			Mirikitani p911 [unknown/low]
apag		adjective	Samson p54 [unknown/low]
apalit		N	PALI:apa’lit
apalya		N	PALI:apalyaq
apan		N	PALI:apa’n
apap		noun	Samson p55 [unknown/low]
aparador		noun	Samson p55 [dictionary_explicit/high]
aparadur			Kapampangan-English-Pilipino wordlist p4 [unknown/low]
aparatu		noun	Samson p55 [unknown/low]
aparision		noun	Samson p55 [unknown/low]
aparte			Samson p55 [unknown/low]
apas			Samson p55 [unknown/low]
apat		Nu	PALI:a’pat
apatapulu			Kapampangan-English-Pilipino wordlist p4 [unknown/low]
apda			Samson p55 [dictionary_explicit/high]
ape			Samson p55 [unknown/low]
apela		noun	Samson p55 [unknown/low]
apelidu			Mirikitani p899 [unknown/low]
apelyidu		noun	Samson p55 [unknown/low]
apendise		noun	Samson p55 [dictionary_explicit/high]
apendisitis		N	PALI:apendisi’tis
api		N	PALI:a’piq
apia			Samson p56 [unknown/low]
apiac			Samson p56 [unknown/low]
apiap			Samson p56 [unknown/low]
apis			Samson p56 [dictionary_explicit/high]
apit			Samson p56 [dictionary_explicit/high]
apitung		noun	Samson p56 [unknown/low]
apius			Samson p56 [unknown/low]
aplas		noun	Samson p56 [dictionary_explicit/high]
aplaya		N	PALI:apla’ya
aplus			Kapampangan-English-Pilipino wordlist p5 [unknown/low]
apnu			Samson p57 [unknown/low]
apon			Kapampangan-English-Pilipino wordlist p5 [unknown/low]
apqap		N	PALI:apqap
aproba			Samson p57 [dictionary_explicit/high]
aprobasion		noun	Samson p57 [unknown/low]
aprocsima		verb	Samson p57 [unknown/low]
aprovecha		noun	Samson p57 [dictionary_explicit/high]
aprumero			Mirikitani p899 [unknown/low]
apsa			Samson p57 [dictionary_explicit/high]
apsal			Samson p57 [dictionary_explicit/high]
apsang		noun	Samson p57 [unknown/low]
apse			Samson p57 [dictionary_explicit/high]
apsi			Samson p58 [unknown/low]
aptas		noun	Samson p58 [dictionary_explicit/high]
apu		N	PALI:a’pu
apulid			Kapampangan-English-Pilipino wordlist p5 [unknown/low]
apulu		Nu	PALI:apu’luq
apun		See na:pun ‘yesterday’; gatpanapun ‘afternoon’; patinga’pun ‘the whole day’. 11 A-	PALI:-a’pun
apus			Kapampangan-English-Pilipino wordlist p5 [unknown/low]
arabu			Kapampangan-English-Pilipino wordlist p5 [unknown/low]
aral		V	PALI:a’ral
aran		adjective	Samson p60 [unknown/low]
arana			Kapampangan-English-Pilipino wordlist p5 [unknown/low]
arang			Samson p60 [unknown/low]
arangkada		noun	Samson p60 [unknown/low]
arangkadahan			Samson p60 [unknown/low]
aranias		noun	Samson p60 [unknown/low]
aransel		noun	Samson p60 [unknown/low]
arap		N	PALI:ara’p
araru			Kapampangan-English-Pilipino wordlist p5 [unknown/low]
aras			Kapampangan-English-Pilipino wordlist p5 [unknown/low]
arastia		noun	Samson p60 [unknown/low]
aray			Kapampangan-English-Pilipino wordlist p5 [unknown/low]
arayat		N	PALI:ara’yat
archivista			Samson p60 [unknown/low]
archivo		noun	Samson p60 [unknown/low]
are		N	PALI:a’re
aregano			Samson p61 [unknown/low]
aregla			Samson p61 [unknown/low]
areglado			Mirikitani p900 [unknown/low]
aregladu			Samson p61 [unknown/low]
areglu			Samson p61 [unknown/low]
areka			Samson p61 [unknown/low]
arena		noun	Samson p61 [unknown/low]
arenas			Samson p61 [unknown/low]
arenda			Samson p61 [unknown/low]
aresto		noun	Samson p61 [dictionary_explicit/high]
arestu			Kapampangan-English-Pilipino wordlist p5 [unknown/low]
argabyadu		D	PALI:argabya’du
argamasa		noun	Samson p61 [unknown/low]
argolia		noun	Samson p61 [unknown/low]
argolya			Kapampangan-English-Pilipino wordlist p5 [unknown/low]
argu		verb	Samson p61 [unknown/low]
argumento		noun	Samson p61 [unknown/low]
ari		verb	Samson p61 [dictionary_explicit/high]
aria		noun	Samson p61 [unknown/low]
arihia			Samson p61 [unknown/low]
arihiya			PALI:ari’hiya
arina		N	PALI:ari’na
arinola		N	PALI:arino’la
arkangel		noun	Samson p60 [dictionary_explicit/high]
arkanghel			Samson p60 [unknown/low]
arkidiosesis		noun	Samson p61 [unknown/low]
arkila		V	PALI:arkila’
arkitecto		noun	Samson p61 [unknown/low]
arkitectura		noun	Samson p61 [unknown/low]
arko			Kapampangan-English-Pilipino wordlist p5 [unknown/low]
armas			Kapampangan-English-Pilipino wordlist p5 [unknown/low]
arnibal			Kapampangan-English-Pilipino wordlist p5 [unknown/low]
arnis		N	PALI:arni’s
aro			Kapampangan-English-Pilipino wordlist p5 [unknown/low]
arobu			Kapampangan-English-Pilipino wordlist p5 [unknown/low]
arsobispo		N	PALI:arsobi’spo
arsubispu			Kapampangan-English-Pilipino wordlist p5 [unknown/low]
artifisial		adjective	Samson p63 [unknown/low]
artiko		noun (OCR: printed as 'ft.')	Samson p63 [unknown/low]
artikulo		noun (OCR: printed as 'ft.')	Samson p63 [unknown/low]
artikulu			Kapampangan-English-Pilipino wordlist p5 [unknown/low]
artista			Kapampangan-English-Pilipino wordlist p5 [unknown/low]
artritis		noun (OCR: printed as 'ft.')	Samson p63 [dictionary_explicit/high]
aru		Excl	PALI:aru’
aruk			Kapampangan-English-Pilipino wordlist p5 [unknown/low]
arung		N	PALI:a’rung
arzobispo		noun (OCR: printed as 'ft.')	Samson p63 [unknown/low]
as-sual			Samson p69 [unknown/low]
as-suas			Samson p69 [unknown/low]
as-sue		noun	Samson p69 [unknown/low]
as-suit			Samson p69 [unknown/low]
asa		noun (OCR: printed as 'ft.')	Samson p63 [dictionary_explicit/high]
asa-		V	PALI:asa’q-
asa-asa			Kapampangan-English-Pilipino wordlist p5 [unknown/low]
asac		noun (OCR: printed as 'ft.')	Samson p63 [unknown/low]
asad		noun (OCR: printed as 'ft.')	Samson p63 [dictionary_explicit/high]
asag		N	PALI:a’sag
asahar			Samson p63 [unknown/low]
asais			Mirikitani p901 [unknown/low]
asal		noun (OCR: printed as 'ft.')	Samson p63 [unknown/low]
asan		N	PALI:asa’n
asang		N	PALI:a’sang
asap		noun	Samson p64 [dictionary_explicit/high]
asas		noun	Samson p64 [unknown/low]
asauanan			Samson p64 [unknown/low]
asawa		N	PALI:asa’wa
asbu		noun	Samson p64 [dictionary_explicit/high]
asbuc		noun	Samson p65 [unknown/low]
asbuk		N	PALI:asbu’k
asead		noun-verb	Samson p65 [dictionary_explicit/high]
aseite		noun	Samson p19 [dictionary_explicit/high]
aserado		adjective	Samson p19 [unknown/low]
asero		noun	Samson p19 [unknown/low]
aseru			Mga Salita sa Iba't Ibang Dayalekto p3 [unknown/low]
asiad			Kapampangan-English-Pilipino wordlist p5 [unknown/low]
asias			Kapampangan-English-Pilipino wordlist p5 [unknown/low]
asibar		noun	Samson p19 [dictionary_explicit/high]
asido		noun	Samson p19 [unknown/low]
asiete			Mirikitani p901 [unknown/low]
asik			Kapampangan-English-Pilipino wordlist p5 [unknown/low]
asik-		V	PALI:asik-
asin			Kapampangan-English-Pilipino wordlist p5 [unknown/low]
asinta		noun	Samson p67 [unknown/low]
asintada			Samson p67 [unknown/low]
asintado		D	PALI:asintado
asio		noun	Samson p67 [dictionary_explicit/high]
asistente			Samson p67 [unknown/low]
asisti		verb	Samson p67 [unknown/low]
aske			Samson p67 [unknown/low]
askomu			Kapampangan-English-Pilipino wordlist p5 [unknown/low]
aslac			Samson p67 [unknown/low]
aslag		N	PALI:a’slag
aslak			Kapampangan-English-Pilipino wordlist p5 [unknown/low]
aslam		N	PALI:asla’m
aslat		D	PALI:-aslat
aslut		verb	Samson p67 [dictionary_explicit/high]
asmu		adverb	Samson p68 [unknown/low]
asna		adjective	Samson p68 [dictionary_explicit/high]
asnga		noun	Samson p68 [dictionary_explicit/high]
asngo		noun	Samson p68 [dictionary_explicit/high]
asno			Samson p68 [unknown/low]
asnuc		noun	Samson p68 [dictionary_explicit/high]
asnuk			Kapampangan-English-Pilipino wordlist p6 [unknown/low]
asogi			Kapampangan-English-Pilipino wordlist p6 [unknown/low]
asopas			Samson p68 [unknown/low]
asosiasion		noun	Samson p68 [unknown/low]
aspa			Samson p68 [dictionary_explicit/high]
aspac			Samson p68 [dictionary_explicit/high]
aspak			Kapampangan-English-Pilipino wordlist p6 [unknown/low]
aspalto			Kapampangan-English-Pilipino wordlist p6 [unknown/low]
asparago		noun	Samson p68 [unknown/low]
aspat		noun-verb	Samson p68 [dictionary_explicit/high]
aspe			Samson p69 [unknown/low]
aspi			Samson p69 [dictionary_explicit/high]
aspicsia		noun (OCR: printed as 'ft.')	Samson p69 [unknown/low]
aspili		noun	Samson p69 [unknown/low]
aspirante		noun	Samson p69 [unknown/low]
aspirina		noun	Samson p69 [unknown/low]
asta		noun (OCR: printed as 'ft.')	Samson p69 [unknown/low]
astaka		N	PALI:asta’ka
asterisko		noun (OCR: printed as 'ft.')	Samson p69 [unknown/low]
astrologo		noun (OCR: printed as 'ft.')	Samson p69 [unknown/low]
astrolohiya		noun	Samson p70 [unknown/low]
astronomiya		noun	Samson p70 [unknown/low]
astronomo		noun	Samson p70 [unknown/low]
asu		N	PALI:a’su
asuang		noun	Samson p70 [unknown/low]
asuas			Samson p70 [unknown/low]
asuc		noun	Samson p70 [unknown/low]
asuete			Kapampangan-English-Pilipino wordlist p6 [unknown/low]
asug			Samson p70 [unknown/low]
asugi			Samson p70 [unknown/low]
asuk		N	PALI:asu’k
asukal		noun	Samson p70 [dictionary_explicit/high]
asul		N	PALI:asu’l
asung		N	PALI:a’sung
asunsion		noun	Samson p70 [unknown/low]
asuntu		noun	Samson p70 [unknown/low]
asus		verb	Samson p70 [dictionary_explicit/high]
aswal			Kapampangan-English-Pilipino wordlist p6 [unknown/low]
aswang		N	PALI:aswa’ng
aswe		N	PALI:aswe’
asyag		N	PALI:asyag
asyas		N	PALI:asya’s
at		Cocombiner	PALI:at
at-tia		noun	Samson p74 [AI_proposed/medium]
at-tua			Samson p74 [AI_proposed/medium]
at-tuas		noun-verb	Samson p74 [AI_proposed/medium]
ata		part	SEED-FUNC
atab		N	PALI:ata’b
atac		noun	Samson p71 [unknown/low]
atad		V	PALI:ata’d
atake		N	PALI:ata’ke
ataki			Kapampangan-English-Pilipino wordlist p6 [unknown/low]
atakman			Mirikitani p960 [unknown/low]
atap			Kapampangan-English-Pilipino wordlist p6 [unknown/low]
atas			Kapampangan-English-Pilipino wordlist p6 [unknown/low]
atbu		N	PALI:atbu’
atca		V	PALI:atca’q
atcaka			PALI:atcaka’
atcan		N	PALI:a’tcan
atcara		N	PALI:atca’ra
atcha			Mirikitani p901 [unknown/low]
atchi			Mirikitani p901 [unknown/low]
atcing		N	PALI:atci’ng
atcu			PALI:atcu’
atdan			Samson p71 [dictionary_explicit/high]
atdas			Kapampangan-English-Pilipino wordlist p6 [unknown/low]
atdu		N	PALI:atdu’q
ate		N	PALI:a’te
ateismo		noun	Samson p73 [unknown/low]
ateista		noun	Samson p73 [dictionary_explicit/high]
atensiun		noun	Samson p73 [unknown/low]
ati		noun	Samson p73 [dictionary_explicit/high]
atiab			Samson p73 [dictionary_explicit/high]
atias			Samson p73 [unknown/low]
atic			Samson p73 [unknown/low]
atik		N	PALI:ati’k
atilu			Mirikitani p902 [unknown/low]
atim			Kapampangan-English-Pilipino wordlist p6 [unknown/low]
atin		exist	SEED-FUNC
ating		exist	SEED-FUNC
atis		noun	Samson p73 [dictionary_explicit/high]
atiu		exist	SEED-FUNC
atlantiko		noun	Samson p73 [unknown/low]
atleta		noun	Samson p73 [unknown/low]
atletika			Samson p73 [unknown/low]
atling		noun	Samson p73 [unknown/low]
atlu		Nu	PALI:atlu’
atlungpulu			Kapampangan-English-Pilipino wordlist p6 [unknown/low]
atmosfera		noun	Samson p73 [unknown/low]
atnga			Samson p74 [dictionary_explicit/high]
atni		D	PALI:-atni’
atomiko		adjective	Samson p74 [unknown/low]
atomo		noun	Samson p74 [unknown/low]
atracsion		noun	Samson p74 [unknown/low]
atractivo		adjective	Samson p74 [unknown/low]
atras		V	PALI:atra’s
atrasu		N	PALI:atra’su
atrenta			Mirikitani p902 [unknown/low]
atrese			Mirikitani p902 [unknown/low]
atril		noun	Samson p74 [unknown/low]
atsaka		conjunction	Samson p74 [unknown/low]
atsara		noun	Samson p74 [dictionary_explicit/high]
atsi		N	PALI:a’tsi
atsing		noun	Samson p74 [dictionary_explicit/high]
atsit		noun	Samson p74 [unknown/low]
atsuiti			Samson p74 [dictionary_explicit/high]
atu		noun	Samson p74 [unknown/low]
atuc		verb	Samson p74 [unknown/low]
atul		N	PALI:a:tul
atuli		noun	Samson p76 [unknown/low]
atupag		noun	Samson p76 [unknown/low]
atut		N	PALI:a’tut
atyan			Kapampangan-English-Pilipino wordlist p6 [unknown/low]
atyat			Kapampangan-English-Pilipino wordlist p6 [unknown/low]
atyu			Kapampangan-English-Pilipino wordlist p6 [unknown/low]
au		noun (OCR: printed as 'ft.')	Samson p76 [unknown/low]
aua		noun-verb	Samson p76 [dictionary_explicit/high]
auac		noun (OCR: printed as 'ft.')	Samson p76 [dictionary_explicit/high]
aual			Samson p76 [unknown/low]
auang		noun (OCR: printed as 'ft.')	Samson p76 [unknown/low]
auat			Samson p76 [unknown/low]
auditivo		noun (OCR: printed as 'ft.')	Samson p76 [unknown/low]
auig		adjective	Samson p76 [unknown/low]
auit		noun	Samson p77 [dictionary_explicit/high]
aul-		V	PALI:au’l-
aum		noun	Samson p77 [unknown/low]
aunus		N	PALI:aunus
auoy		noun	Samson p77 [unknown/low]
aus		V	PALI:a’us
autobiografiya		noun	Samson p77 [unknown/low]
automatiko		adjective	Samson p77 [unknown/low]
automobil			Samson p77 [unknown/low]
autor		noun	Samson p77 [unknown/low]
autoridad			Samson p77 [dictionary_explicit/high]
avenida		noun	Samson p77 [unknown/low]
avernung			Samson p77 [unknown/low]
aviado		adjective	Samson p77 [unknown/low]
aviador		noun	Samson p77 [unknown/low]
avisa			Samson p77 [unknown/low]
avisado		adjective	Samson p77 [unknown/low]
aviso		noun	Samson p77 [unknown/low]
avokado		noun	Samson p77 [unknown/low]
awa			Samson p77 [unknown/low]
awad			Kapampangan-English-Pilipino wordlist p6 [unknown/low]
awak		N	PALI:a’wak
awakan		N	PALI:awa’kan
awang		N	PALI:a’wang
awat			Kapampangan-English-Pilipino wordlist p6 [unknown/low]
awe		N	PALI:a’we
awig			Kapampangan-English-Pilipino wordlist p6 [unknown/low]
awig-awig		D	PALI:awi’g-awi’g
awla			Kapampangan-English-Pilipino wordlist p6 [unknown/low]
awni		Subs	PALI:awni’
awta		Subs	PALI:awta
ay			Samson p77 [dictionary_explicit/high]
aya			Samson p77 [dictionary_explicit/high]
ayasawa			Mirikitani p901 [unknown/low]
ayayi		noun	Samson p78 [unknown/low]
ayli		noun	Samson p78 [unknown/low]
ayna			Mirikitani p903 [unknown/low]
ayo			Samson p78 [dictionary_explicit/high]
ayos			Mirikitani p903 [unknown/low]
ayri		N	PALI:a’yri
ayubu		adjective	Samson p78 [dictionary_explicit/high]
ayuda		noun	Samson p78 [unknown/low]
ayudante		noun	Samson p78 [unknown/low]
ayul		adjective	Samson p78 [dictionary_explicit/high]
ayuma			Samson p78 [dictionary_explicit/high]
ayun		V	PALI:a’yun
ayungin		noun	Samson p78 [unknown/low]
ayuno		noun	Samson p79 [unknown/low]
ayuntamiento		noun	Samson p79 [unknown/low]
ayunu			Kapampangan-English-Pilipino wordlist p6 [unknown/low]
ayup		N	PALI:a’yup
ayup-ayupan		noun	Samson p79 [unknown/low]
ayus		adjective	Samson p79 [unknown/low]
ayut		noun	Samson p79 [dictionary_explicit/high]
aywe		N	PALI:a’ywe
azahar		noun	Samson p79 [unknown/low]
azalea		noun	Samson p79 [unknown/low]
azotea		noun	Samson p79 [unknown/low]
azufre			Samson p79 [unknown/low]
azusena		noun	Samson p79 [unknown/low]
b			Mirikitani p910 [unknown/low]
ba		Subcombiner	PALI:ba
baba		N	PALI:ba’baq
babad		adjective	Samson p80 [dictionary_explicit/high]
babagwa		N	PALI:ba:bagwa’q
babai		N	PALI:baba’i
babat			Kapampangan-English-Pilipino wordlist p7 [unknown/low]
babay			Mirikitani p903 [unknown/low]
babi		N	PALI:ba’biq
babi-babi		noun	Samson p81 [AI_proposed/medium]
bablas		V	PALI:-bablas
babo		N., Prep	PALI:ba’bo
babu		V	PALI:ba’buq
bac		noun	Samson p81 [unknown/low]
bacbac		adjective	Samson p81 [dictionary_explicit/high]
bachoy		noun	Samson p82 [dictionary_explicit/high]
backue		noun-verb	Samson p82 [unknown/low]
baclad		noun	Samson p82 [dictionary_explicit/high]
bade		adjective	Samson p82 [dictionary_explicit/high]
bag-gia		adverb	Samson p84 [unknown/low]
bag-giu		noun	Samson p84 [unknown/low]
bag-gius		noun	Samson p84 [unknown/low]
bag-gua		noun-verb	Samson p84 [unknown/low]
baga		N	PALI:baga’q
bagal			Kapampangan-English-Pilipino wordlist p7 [unknown/low]
bagang		N	PALI:ba’gang
bagasu		N	PALI:baga’su
bage		D	PALI:ba’ge
bagebage			Samson p84 [dictionary_explicit/high]
bagi		noun	Samson p84 [dictionary_explicit/high]
bagin		N	PALI:ba’gin
baging		noun	Samson p84 [unknown/low]
bagkat			Kapampangan-English-Pilipino wordlist p7 [unknown/low]
bagkus		adverb	Samson p84 [dictionary_explicit/high]
baglus			Samson p84 [unknown/low]
bagok			Mirikitani p903 [unknown/low]
bagse		noun	Samson p84 [dictionary_explicit/high]
bagsic			Samson p85 [unknown/low]
bagsik		D	PALI:-bagsi’k
bagting		noun	Samson p85 [unknown/low]
bagu		adverb	Samson p85 [unknown/low]
bagua		noun	Samson p85 [unknown/low]
