surface,process,silver_gold_guess,plain@6080,plain@8192,plain@16384,morphbpe@6080,morphbpe@8192,morphbpe@16384,penalty-1@6080,penalty-1@8192,penalty-1@16384,penalty-2@6080,penalty-2@8192,penalty-2@16384,penalty-4@6080,penalty-4@8192,penalty-4@16384,penalty-8@6080,penalty-8@8192,penalty-8@16384,stochastic-p4-d0.1@6080,stochastic-p4-d0.1@8192,stochastic-p4-d0.1@16384,stochastic-p4-d0.2@6080,stochastic-p4-d0.2@8192,stochastic-p4-d0.2@16384,unigram-ablation@6080,correct_segmentation,best_version,notes
pibatan,prefixation,pi+bata+n,p+ibatan,p+ibatan,pibatan,p+ibatan,p+ibatan,p+ibatan,p+ibat+an,p+ibat+an,p+ibat+an,p+ibat+an,p+ibat+an,p+ibat+an,p+ibat+an,p+ibat+an,p+ibat+an,pi+bat+an,pi+bat+an,pi+bat+an,pi+bat+an,pi+bat+an,pi+bat+an,pi+batan,pi+batan,pi+batan,pibata+n,,,
magbili,prefixation,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,,,
makasulat,prefixation,maka+sulat,makasulat,makasulat,makasulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,ma+kasulat,,,
makibalu,prefixation,ma+kibalu,makib+alu,makib+alu,makibalu,mak+ib+alu,mak+ib+alu,mak+ib+alu,maki+balu,maki+balu,maki+balu,maki+balu,maki+balu,maki+balu,maki+balu,maki+balu,maki+balu,maki+balu,maki+balu,maki+balu,maki+balu,maki+balu,maki+balu,maki+balu,maki+balu,maki+balu,maki+balu,,,
makule,prefixation,ma+kule,mak+ule,mak+ule,makule,mak+ule,mak+ule,makule,mak+ule,mak+ule,makule,ma+kule,ma+kule,makule,ma+kule,ma+kule,makule,ma+kule,ma+kule,makule,ma+kule,ma+kule,makule,ma+ku+le,ma+ku+le,makule,ma+kule,,,
malambut,prefixation,ma+lambut,mal+ambut,mal+ambut,malambut,mal+ambut,mal+ambut,malambut,mal+ambut,mal+ambut,malambut,mal+ambut,mal+ambut,malambut,mal+ambut,mal+ambut,malambut,ma+lam+but,ma+lambut,malambut,ma+lam+but,ma+lam+but,malambut,ma+lam+but,ma+lambut,malambut,ma+lambut,,,
malungkut,prefixation,ma+lungkut,mal+ungkut,mal+ungkut,malungkut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,ma+lungkut,,,
manganak,prefixation,mang+anak,mangan+ak,mangan+ak,manganak,mang+anak,mang+anak,mang+anak,mang+anak,mang+anak,mang+anak,mang+anak,mang+anak,mang+anak,mang+anak,mang+anak,mang+anak,mang+anak,mang+anak,mang+anak,mang+anak,mang+anak,mang+anak,mangan+ak,mangan+ak,mangan+ak,mang+anak,,,
marangal,prefixation,ma+rangal,marang+al,marangal,marangal,marangal,marangal,marangal,marangal,marangal,marangal,marangal,marangal,marangal,marangal,marangal,marangal,marangal,marangal,marangal,marangal,marangal,marangal,marang+al,marangal,marangal,marangal,,,
masipag,prefixation,ma+sipag,mas+ipag,mas+ipag,masipag,mas+ipag,mas+ipag,mas+ipag,mas+ipag,mas+ipag,mas+ipag,ma+sipag,ma+sipag,ma+sipag,ma+si+pag,ma+sipag,ma+sipag,ma+sipag,ma+sipag,ma+sipag,ma+si+pag,ma+sipag,ma+sipag,ma+si+pag,ma+si+pag,ma+sipag,ma+sipag,,,
matuling,prefixation,ma+tuling,mat+uling,matuling,matuling,mat+uling,matuling,matuling,mat+uling,matuling,matuling,mat+uling,matuling,matuling,mat+uling,matuling,matuling,mat+uling,matuling,matuling,mat+uli+ng,matuling,matuling,mat+uli+ng,matuling,matuling,matuli+ng,,,
menalig,prefixation,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,me+na+lig,,,
menatili,prefixation,men+atili,men+atili,men+atili,menatili,men+atili,menatili,menatili,men+atili,menatili,menatili,men+atili,menatili,menatili,men+atili,menatili,menatili,men+atili,menatili,menatili,men+atili,menatili,menatili,men+atili,men+atili,menatili,menatili,,,
pakakak,prefixation,pa+kakak,paka+ka+k,paka+kak,pakakak,paka+ka+k,paka+ka+k,paka+kak,paka+ka+k,paka+kak,paka+kak,paka+ka+k,paka+ka+k,paka+kak,paka+ka+k,paka+ka+k,paka+kak,paka+ka+k,pakaka+k,pakaka+k,paka+ka+k,paka+ka+k,paka+kak,paka+ka+k,paka+ka+k,pakaka+k,paka+ka+k,,,
pakibat,prefixation,pa+kibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,,,
paldas,prefixation,pa+ldas,pal+das,pal+das,paldas,pal+das,paldas,paldas,pal+das,paldas,paldas,pal+das,paldas,paldas,pal+das,paldas,paldas,pal+das,paldas,paldas,pal+das,pal+das,paldas,pal+das,pal+das,paldas,paldas,,,
pamisip,prefixation,pam+isip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,,,
pampang,prefixation,pam+pang,pampang,pampang,pampang,pam+pang,pam+pang,pampang,pam+pang,pam+pang,pam+pang,pam+pang,pam+pang,pam+pang,pam+pang,pam+pang,pam+pang,pam+pang,pam+pang,pam+pang,pampang,pampang,pampang,pam+pang,pam+pang,pam+pang,pampang,,,
pilipinas,prefixation,pi+lipinas,p+ilip+inas,p+ilip+inas,p+ilip+inas,p+ilipinas,p+ilipinas,p+ilipinas,p+ilipinas,p+ilipinas,p+ilipinas,p+ilipinas,p+ilipinas,p+ilipinas,p+ilipin+as,p+ilipin+as,p+ilipin+as,pili+pin+as,pili+pin+as,pili+pin+as,pili+pinas,pili+pinas,pili+pinas,pi+lipin+as,pi+lipin+as,pi+lipin+as,pi+li+pin+as,,,
mabilis,prefixation,ma+bilis,mabilis,mabilis,mabilis,mab+ilis,mab+ilis,mab+ilis,ma+bilis,ma+bilis,ma+bilis,ma+bilis,ma+bilis,ma+bilis,ma+bilis,ma+bilis,ma+bilis,ma+bilis,ma+bilis,ma+bilis,ma+bilis,ma+bilis,ma+bilis,ma+bilis,ma+bilis,ma+bilis,mabilis,,,
magaral,prefixation,mag+aral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,,,
malagwa,prefixation,ma+lagwa,malag+wa,malag+wa,malagwa,malag+wa,malag+wa,malagwa,malag+wa,malag+wa,malagwa,malag+wa,malag+wa,malagwa,malag+wa,malag+wa,malagwa,malag+wa,malag+wa,malagwa,ma+lag+wa,ma+lag+wa,malagwa,malag+wa,malag+wa,malagwa,malagwa,,,
malangi,prefixation,ma+langi,malang+i,malang+i,malangi,malang+i,malang+i,malangi,malang+i,malang+i,malangi,malang+i,malang+i,malangi,malang+i,malang+i,malangi,malang+i,malang+i,malangi,mal+ang+i,malang+i,malangi,ma+langi,ma+langi,malangi,malangi,,,
malino,prefixation,ma+lino,malino,malino,malino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,malino,,,
mangamate,prefixation,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,manga+mate,,,
maniabing,prefixation,man+iabing,mani+abing,mani+abing,maniabing,mani+abing,mani+abing,maniabing,mani+abing,mani+abing,maniabing,mani+abing,mani+abing,maniabing,mania+bing,mania+bing,maniabing,mania+bing,mania+bing,maniabing,maniabi+ng,maniabi+ng,maniabing,maniabi+ng,maniabi+ng,maniabing,maniabi+ng,,,
maninap,prefixation,man+inap,man+inap,man+inap,maninap,man+inap,man+inap,maninap,man+inap,man+inap,maninap,man+inap,man+inap,maninap,man+inap,man+inap,maninap,man+inap,man+inap,maninap,man+inap,man+inap,maninap,man+inap,man+inap,maninap,mani+na+p,,,
manyawad,prefixation,man+yawad,man+ya+wad,manya+wad,manyawad,man+ya+wad,man+yawad,man+yawad,man+ya+wad,man+yawad,man+yawad,man+ya+wad,man+yawad,man+yawad,man+ya+wad,man+yawad,man+yawad,man+ya+wad,man+yawad,man+yawad,man+ya+wad,man+yawad,man+yawad,man+ya+wad,man+yawad,man+yawad,man+yawad,,,
mapait,prefixation,ma+pait,map+ait,map+ait,mapait,map+a+it,mapa+it,mapait,mapa+it,mapa+it,mapait,mapa+it,mapa+it,mapait,mapa+it,mapa+it,mapait,mapa+it,mapa+it,mapait,mapa+it,mapa+it,mapait,mapa+it,mapa+it,mapait,mapa+it,,,
mayubu,prefixation,ma+yubu,may+ubu,may+ubu,mayubu,may+ubu,may+ubu,may+ubu,mayu+bu,mayu+bu,mayu+bu,mayu+bu,mayu+bu,mayu+bu,mayu+bu,mayu+bu,mayu+bu,ma+yu+bu,ma+yubu,ma+yubu,mayu+bu,mayu+bu,mayu+bu,mayu+bu,mayu+bu,mayu+bu,ma+yu+bu,,,
pamilya,prefixation,pam+ilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,,,
pangaku,prefixation,pan+gaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,,,
pangaras,prefixation,pang+aras,pang+aras,pang+aras,pangaras,pang+aras,pang+aras,pangaras,pang+aras,pang+aras,pangaras,pang+aras,pang+aras,pangaras,pang+aras,pang+aras,pangaras,panga+ras,panga+ras,pangaras,panga+ras,panga+ras,pangaras,panga+ras,panga+ras,pangaras,panga+ras,,,
pasibayung,prefixation,pa+sibayung,pas+ib+ayung,pasibayung,pasibayung,pasib+ayung,pasibayung,pasibayung,pas+ib+ayung,pasibayung,pasibayung,pas+ib+ayung,pasibayung,pasibayung,pasi+bayung,pasibayung,pasibayung,pasi+bayung,pasibayung,pasibayung,pasi+bayung,pasibayung,pasibayung,pasi+bayung,pasibayung,pasibayung,pasibayu+ng,,,
patawad,prefixation,pa+tawad,pat+awad,pat+awad,patawad,pat+aw+ad,pat+aw+ad,pat+awad,pataw+ad,pataw+ad,pataw+ad,pataw+ad,pataw+ad,pataw+ad,pataw+ad,pataw+ad,pataw+ad,pat+awa+d,pat+awa+d,pat+awad,pat+awa+d,pat+awa+d,pat+awad,pat+awad,pat+awad,pat+awad,patawa+d,,,
ipaintulut,prefixation,ipa+intulut,ipa+int+ulut,ipa+int+ulut,ipa+intulut,ipa+int+ulut,ipa+int+ulut,ipaintulut,ipa+int+ulut,ipa+int+ulut,ipa+intulut,ipa+intulut,ipa+intulut,ipa+intulut,ipa+intulut,ipa+intulut,ipaintulut,ipa+intu+lut,ipa+intu+lut,ipaintulut,ipa+int+ulut,ipa+int+ulut,ipa+intulut,ipa+intu+lut,ipa+intu+lut,ipa+intulut,i+paintulut,,,
maestro,prefixation,maestro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+e+stro,,,
magari,prefixation,ma+gari,mag+ari,mag+ari,magari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,,,
makalunus,prefixation,maka+lunus,makal+unus,makal+unus,makalunus,makal+un+us,makal+unus,makal+unus,makal+un+us,makal+un+us,makal+unus,makal+un+us,makal+unus,makal+unus,makal+un+us,makal+unus,makal+unus,maka+lunus,maka+lunus,maka+lunus,maka+lunus,maka+lunus,maka+lunus,maka+lunus,maka+lunus,maka+lunus,maka+lunus,,,
makasalikut,prefixation,maka+salikut,makas+alikut,makas+alikut,makasalikut,maka+salikut,maka+salikut,maka+salikut,maka+salikut,maka+salikut,maka+salikut,maka+salikut,maka+salikut,maka+salikut,maka+salikut,maka+salikut,maka+salikut,maka+salikut,maka+salikut,maka+salikut,maka+sali+kut,maka+salikut,maka+salikut,maka+salikut,maka+salikut,maka+salikut,maka+salikut,,,
mamintu,prefixation,mam+intu,mam+intu,mamintu,mamintu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mamintu,,,
manaliwang,prefixation,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+ali+wang,man+ali+wang,man+ali+wang,man+aliwang,man+aliwang,man+aliwang,man+aliwang,,,
manyad,prefixation,ma+nyad,man+yad,man+yad,manyad,man+yad,man+yad,manyad,man+yad,man+yad,manyad,man+yad,man+yad,manyad,man+yad,man+yad,manyad,man+yad,man+yad,manyad,man+yad,man+yad,manyad,man+yad,man+yad,manyad,man+ya+d,,,
mapinu,prefixation,ma+pinu,map+inu,map+inu,mapinu,map+inu,map+inu,map+inu,ma+pin+u,ma+pin+u,ma+pinu,ma+pin+u,ma+pin+u,ma+pinu,ma+pin+u,ma+pinu,ma+pinu,ma+pin+u,ma+pin+u,ma+pinu,ma+pinu,ma+pinu,ma+pinu,ma+pinu,ma+pinu,ma+pinu,ma+pin+u,,,
masala,prefixation,ma+sala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala,,,
masquil,prefixation,ma+squil,mas+qu+il,mas+qu+il,mas+quil,mas+qu+il,mas+quil,mas+quil,mas+qu+il,mas+quil,mas+quil,mas+qu+il,mas+quil,mas+quil,mas+qu+il,mas+quil,mas+quil,mas+qu+il,mas+qu+il,mas+quil,mas+qu+il,mas+quil,mas+quil,mas+qu+il,mas+qu+il,mas+quil,mas+qui+l,,,
mayakit,prefixation,ma+yakit,maya+kit,maya+kit,mayakit,maya+kit,maya+kit,mayakit,maya+kit,maya+kit,mayakit,maya+kit,maya+kit,mayakit,maya+kit,maya+kit,mayakit,maya+kit,maya+kit,mayakit,maya+kit,maya+kit,mayakit,maya+kit,maya+kit,mayakit,m+ayakit,,,
menalakad,prefixation,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+ala+kad,men+ala+kad,men+ala+kad,men+alakad,,,
meninap,prefixation,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+in+ap,,,
migdala,prefixation,mig+dala,mig+dala,mig+dala,migdala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,,,
pangaligtas,prefixation,panga+ligtas,pangal+igtas,pangal+igtas,pangal+igtas,pang+alig+tas,pang+alig+tas,pang+aligtas,pang+alig+tas,pang+alig+tas,pang+aligtas,pang+alig+tas,pang+alig+tas,pang+aligtas,pang+alig+tas,pang+alig+tas,pang+aligtas,pang+alig+tas,pang+alig+tas,pang+aligtas,pang+alig+tas,pang+alig+tas,pang+alig+tas,pang+alig+tas,pang+alig+tas,pang+alig+tas,panga+ligtas,,,
parusa,prefixation,pa+rusa,par+usa,parusa,parusa,par+usa,parusa,parusa,par+usa,parusa,parusa,par+usa,parusa,parusa,par+usa,parusa,parusa,pa+rusa,parusa,parusa,pa+rusa,parusa,parusa,paru+sa,parusa,parusa,parusa,,,
patutut,prefixation,pa+tutut,pat+ut+ut,pat+utut,pat+utut,pat+utut,pat+utut,pat+utut,pat+utut,pat+utut,pat+utut,pat+ut+ut,pat+utut,pat+utut,patu+tut,patu+tut,patu+tut,pat+utu+t,pat+utut,pat+utut,pat+utu+t,pat+utu+t,pat+utut,pat+utu+t,pat+utut,pat+utut,patutu+t,,,
manuknangan,prefixation+suffixation,man+uknang+an,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknanga+n,,,
ingatan,prefixation+suffixation,ingat+an,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,,,
menuknangan,prefixation+suffixation,men+uknang+an,men+uknangan,menuknangan,menuknangan,men+uknangan,menuknangan,menuknangan,men+uknangan,menuknangan,menuknangan,men+uknangan,menuknangan,menuknangan,men+uknangan,menuknangan,menuknangan,men+uknang+an,menuknangan,menuknangan,men+uknang+an,menuknangan,menuknangan,men+uknang+an,menuknangan,menuknangan,m+enuknangan,,,
pibandian,prefixation+suffixation,pi+bandi+an,pibandian,pibandian,pibandian,pib+and+ian,pib+and+ian,pib+and+ian,pib+and+ian,pib+and+ian,pib+and+ian,pib+and+ian,pib+and+ian,pib+and+ian,pib+and+ian,pib+and+ian,pib+and+ian,pi+bandi+an,pi+bandi+an,pi+bandi+an,pi+bandi+an,pi+bandi+an,pi+bandi+an,pi+bandi+an,pi+bandi+an,pi+bandi+an,pibandi+an,,,
menibatan,prefixation+suffixation,men+ibat+an,menibatan,menibatan,menibatan,menibatan,menibatan,menibatan,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,menibatan,menibatan,menibatan,me+nibatan,,,
manibatan,prefixation+suffixation,man+ibat+an,manibatan,manibatan,manibatan,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,,,
makanianman,prefixation+suffixation,maka+nianm+an,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makan+ian+man,makan+ian+man,makan+ian+man,makanian+man,makanian+man,makanian+man,makanian+man,,,
macanian,prefixation+suffixation,ma+cani+an,macan+ian,macan+ian,macanian,ma+can+ian,macanian,macanian,macan+ian,macanian,macanian,macan+ian,macanian,macanian,macan+ian,macanian,macanian,mac+anian,macanian,macanian,mac+anian,macanian,macanian,mac+ani+an,macanian,macanian,maca+ni+an,,,
magkailangan,prefixation+suffixation,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+ka+ilangan,magka+ilangan,magka+ilangan,mag+ka+ilangan,mag+ka+ilangan,magka+ilangan,mag+kailangan,,,
masikanan,prefixation+suffixation,ma+sikan+an,mas+ik+anan,mas+ik+anan,masikanan,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,,,
pisamban,prefixation+suffixation,pi+samb+an,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,,,
pilubluban,prefixation+suffixation,pi+lublub+an,pil+ubluban,pilubluban,pilubluban,pil+ubluban,pilubluban,pilubluban,pilubluban,pilubluban,pilubluban,pilubluban,pilubluban,pilubluban,pilubluban,pilubluban,pilubluban,pilubluban,pilubluban,pilubluban,pilubluban,pilubluban,pilubluban,pi+lubluban,pilubluban,pilubluban,pilubluban,,,
pikakasaman,prefixation+suffixation,pi+kakasam+an,pika+kas+aman,pika+kas+aman,pika+kasaman,pika+kas+aman,pika+kas+aman,pika+kasaman,pika+kas+aman,pika+kas+aman,pika+kasaman,pika+kas+aman,pika+kas+aman,pika+kasaman,pi+ka+kas+aman,pika+kas+aman,pika+kasaman,pika+kas+aman,pika+kas+aman,pika+kasaman,pika+kas+aman,pika+kas+aman,pika+kasaman,pika+kas+aman,pika+kas+aman,pika+kasaman,pi+ka+kasama+n,,,
inatulan,prefixation+suffixation,i+natul+an,in+atulan,in+atulan,inatulan,inat+ulan,inat+ulan,inatulan,in+atul+an,in+atul+an,inatulan,in+atul+an,in+atul+an,inatulan,in+atul+an,in+atul+an,inatulan,in+atul+an,in+atul+an,inatulan,in+atul+an,in+atul+an,inatulan,inat+ul+an,inat+ul+an,inatulan,in+atulan,,,
pibandyan,prefixation+suffixation,pi+bandy+an,piband+yan,piband+yan,pibandyan,pib+and+yan,pib+and+yan,pibandyan,pib+and+yan,pib+and+yan,pibandyan,pib+and+yan,pib+and+yan,pibandyan,pib+and+yan,pib+and+yan,pibandyan,pi+band+yan,pi+band+yan,pibandyan,pi+ban+d+yan,pi+band+yan,pibandyan,pi+band+yan,pi+band+yan,pibandyan,pi+ban+d+yan,,,
lalaki,reduplication,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,lalaki,,,
babai,reduplication,babai,babai,babai,babai,babai,babai,babai,babai,babai,babai,babai,babai,babai,babai,babai,babai,babai,babai,babai,babai,babai,babai,babai,babai,babai,babai,,,
kekeng,reduplication,kekeng,kekeng,kekeng,kekeng,kekeng,kekeng,kekeng,kekeng,kekeng,kekeng,kekeng,kekeng,kekeng,kekeng,kekeng,kekeng,kekeng,kekeng,kekeng,kekeng,kekeng,kekeng,kekeng,kekeng,kekeng,ke+keng,,,
tutu,reduplication,tutu,tutu,tutu,tutu,tutu,tutu,tutu,tutu,tutu,tutu,tutu,tutu,tutu,tutu,tutu,tutu,tutu,tutu,tutu,tutu,tutu,tutu,tutu,tutu,tutu,tutu,,,
lalaking,reduplication,lalaking,lalaking,lalaking,lalaking,lalaking,lalaking,lalaking,lalaking,lalaking,lalaking,lalaking,lalaking,lalaking,lalaking,lalaking,lalaking,lalaking,lalaking,lalaking,lalaking,lalaking,lalaking,lalaking,lalaking,lalaking,lalaki+ng,,,
tatakut,reduplication,tatakut,tatakut,tatakut,tatakut,tat+ak+ut,tatak+ut,tatak+ut,tat+ak+ut,tatak+ut,tatak+ut,tat+ak+ut,tatak+ut,tatak+ut,tat+aku+t,tat+aku+t,tat+akut,tat+aku+t,tat+aku+t,tat+akut,tata+kut,tata+kut,tata+kut,tata+kut,tata+kut,tata+kut,tatakut,,,
babaing,reduplication,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,babaing,,,
gagawan,reduplication,gagawan,gagawan,gagawan,gagawan,gagawan,gagawan,gagawan,gagawan,gagawan,gagawan,gagawan,gagawan,gagawan,gagawan,gagawan,gagawan,gagawan,gagawan,gagawan,gagawan,gagawan,gagawan,gagawan,gagawan,gagawan,gagawan,,,
babayi,reduplication,babayi,bab+ayi,babayi,babayi,babay+i,babayi,babayi,babay+i,babayi,babayi,babay+i,babayi,babayi,baba+yi,babayi,babayi,baba+yi,babayi,babayi,baba+yi,babayi,babayi,baba+yi,babayi,babayi,babayi,,,
lalakad,reduplication,lalakad,lalakad,lalakad,lalakad,l+alakad,l+alakad,l+alakad,l+alakad,l+alakad,l+alakad,lala+kad,lala+kad,lala+kad,lala+kad,lala+kad,lala+kad,lala+kad,lala+kad,lala+kad,lala+kad,lala+kad,lala+kad,lala+kad,lala+kad,lala+kad,la+lakad,,,
tata,reduplication,tata,tata,tata,tata,tata,tata,tata,tata,tata,tata,tata,tata,tata,tata,tata,tata,tata,tata,tata,tata,tata,tata,tata,tata,tata,tata,,,
tutung,reduplication,tutung,tutung,tutung,tutung,tut+ung,tut+ung,tut+ung,tut+ung,tut+ung,tut+ung,tut+ung,tut+ung,tut+ung,tu+tung,tu+tung,tu+tung,tu+tung,tu+tung,tu+tung,tu+tung,tu+tung,tu+tung,tu+tung,tu+tung,tu+tung,tutung,,,
lele,reduplication,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,lele,,,
lulual,reduplication,lulual,lulu+al,lulual,lulual,lulu+al,lulu+al,lulu+al,lulu+al,lulu+al,lulu+al,lulu+al,lulu+al,lulu+al,lulu+al,lulu+al,lulu+al,lu+lual,lu+lual,lu+lual,lulu+al,lulu+al,lulu+al,lu+lual,lu+lual,lu+lual,lu+lual,,,
