surface,process,tier,silver_gold,plain@6080,plain@8192,plain@16384,morphbpe@6080,morphbpe@8192,morphbpe@16384,penalty-1@6080,penalty-1@8192,penalty-1@16384,penalty-2@6080,penalty-2@8192,penalty-2@16384,penalty-4@6080,penalty-4@8192,penalty-4@16384,penalty-8@6080,penalty-8@8192,penalty-8@16384,stochastic-p4-d0.1@6080,stochastic-p4-d0.1@8192,stochastic-p4-d0.1@16384,stochastic-p4-d0.2@6080,stochastic-p4-d0.2@8192,stochastic-p4-d0.2@16384,unigram-ablation@6080
ipasiag,prefixation,F_conflicts_with_reconciliation_evidence,ipa+siag,ip+asi+ag,ip+asiag,ip+asiag,ip+asi+ag,ip+asi+ag,ip+asiag,ip+asi+ag,ip+asi+ag,ip+asiag,ipa+siag,ipa+siag,ipa+siag,i+pasi+ag,i+pasiag,i+pasiag,i+pasi+ag,i+pasiag,i+pasiag,i+pasi+ag,i+pasi+ag,i+pasiag,i+pasi+ag,i+pasi+ag,i+pasiag,i+pasiag
mangalambut,prefixation,B_moderate_silver,mang+alambut,mangal+ambut,mangal+ambut,mangal+ambut,mangal+ambut,mangal+ambut,mangal+ambut,mangal+ambut,mangal+ambut,mangal+ambut,mangal+ambut,mangal+ambut,mangal+ambut,mangal+ambut,mangal+ambut,mangal+ambut,mangala+m+but,mangala+m+but,mangala+mbut,mang+alam+but,mang+alam+but,mang+alambut,mangala+m+but,mangala+m+but,mangala+m+but,manga+lambut
maniaman,prefixation,B_moderate_silver,man+iaman,mani+aman,mani+aman,maniaman,mani+aman,maniaman,maniaman,mani+aman,maniaman,maniaman,mani+aman,maniaman,maniaman,mani+aman,maniaman,maniaman,mani+aman,maniaman,maniaman,mani+aman,mani+aman,maniaman,mani+aman,mani+aman,maniaman,maniaman
mantabe,prefixation,B_moderate_silver,man+tabe,man+t+abe,mant+abe,mantabe,man+t+abe,mant+abe,mantabe,man+t+abe,mant+abe,mantabe,man+tabe,man+tabe,mantabe,man+tabe,man+tabe,mantabe,man+tabe,man+tabe,mantabe,man+tabe,man+tabe,mantabe,man+ta+be,man+tabe,mantabe,m+antabe
mengari,prefixation,B_moderate_silver,men+gari,meng+ari,meng+ari,mengari,meng+ari,meng+ari,meng+ari,meng+ari,meng+ari,meng+ari,meng+ari,meng+ari,meng+ari,meng+ari,meng+ari,meng+ari,meng+ari,meng+ari,meng+ari,meng+ari,meng+ari,meng+ari,me+ng+ari,me+ng+ari,me+ng+ari,menga+ri
malipul,prefixation,F_conflicts_with_reconciliation_evidence,ma+lipul,mal+ip+ul,mal+ip+ul,mal+ipul,mal+ip+ul,mal+ip+ul,mal+ipul,mal+ip+ul,mal+ip+ul,mal+ip+ul,mal+ip+ul,mal+ip+ul,mal+ip+ul,mal+ip+ul,mal+ip+ul,mal+ip+ul,m+ali+pul,m+ali+pul,m+ali+pul,mali+pul,mali+pul,mali+pul,mali+pul,mali+pul,mali+pul,mali+pul
malunus,prefixation,A_strong_silver,ma+lunus,mal+unus,mal+unus,malunus,mal+un+us,mal+unus,mal+unus,mal+un+us,mal+un+us,mal+unus,mal+un+us,mal+unus,mal+unus,mal+un+us,mal+unus,mal+unus,mal+un+us,mal+un+us,mal+unus,mal+un+us,mal+unus,mal+unus,mal+un+us,mal+un+us,malun+us,ma+lunus
mangga,prefixation,B_moderate_silver,ma+ngga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga,mangga
marapat,prefixation,B_moderate_silver,ma+rapat,mar+apat,marapat,marapat,mar+apat,marapat,marapat,ma+rapat,marapat,marapat,ma+rapat,marapat,marapat,mara+pat,marapat,marapat,ma+rapat,marapat,marapat,ma+rapat,marapat,marapat,ma+rapat,marapat,marapat,m+arapat
masias,prefixation,F_conflicts_with_reconciliation_evidence,ma+sias,mas+ias,mas+ias,masias,masi+as,masi+as,masias,mas+ias,mas+ias,masias,masi+as,masi+as,masias,ma+si+as,masi+as,masias,ma+sias,ma+sias,masias,ma+si+as,ma+sias,masias,ma+sias,ma+sias,masias,mas+ias
mekamate,prefixation,A_strong_silver,meka+mate,me+kamat+e,me+kamat+e,me+kamate,me+kamat+e,me+kamat+e,me+kamat+e,meka+mate,meka+mate,meka+mate,meka+mate,meka+mate,meka+mate,meka+mate,meka+mate,meka+mate,meka+mate,meka+mate,meka+mate,meka+mat+e,meka+mat+e,meka+mat+e,meka+mate,meka+mate,meka+mate,meka+mate
patingapun,prefixation,B_moderate_silver,pa+tingapun,pat+ing+apun,pat+ing+apun,patingapun,pat+ing+apun,pating+apun,patingapun,pat+ing+apun,pating+apun,patingapun,pat+ing+apun,pating+apun,patingapun,pat+ing+apun,pating+apun,patingapun,pat+ing+apun,pating+apun,patingapun,pati+ng+apun,pati+ng+apun,patingapun,pati+ng+apun,pati+ng+apun,patingapun,patingapun
pibatan,prefixation,F_conflicts_with_reconciliation_evidence,pi+bata+n,p+ibatan,p+ibatan,pibatan,p+ibatan,p+ibatan,p+ibatan,p+ibat+an,p+ibat+an,p+ibat+an,p+ibat+an,p+ibat+an,p+ibat+an,p+ibat+an,p+ibat+an,p+ibat+an,pi+bat+an,pi+bat+an,pi+bat+an,pi+bat+an,pi+bat+an,pi+bat+an,pi+batan,pi+batan,pi+batan,pibata+n
magbili,prefixation,A_strong_silver,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili,mag+bili
makasulat,prefixation,A_strong_silver,maka+sulat,makasulat,makasulat,makasulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,maka+sulat,ma+kasulat
makibalu,prefixation,B_moderate_silver,ma+kibalu,makib+alu,makib+alu,makibalu,mak+ib+alu,mak+ib+alu,mak+ib+alu,maki+balu,maki+balu,maki+balu,maki+balu,maki+balu,maki+balu,maki+balu,maki+balu,maki+balu,maki+balu,maki+balu,maki+balu,maki+balu,maki+balu,maki+balu,maki+balu,maki+balu,maki+balu,maki+balu
makule,prefixation,F_conflicts_with_reconciliation_evidence,ma+kule,mak+ule,mak+ule,makule,mak+ule,mak+ule,makule,mak+ule,mak+ule,makule,ma+kule,ma+kule,makule,ma+kule,ma+kule,makule,ma+kule,ma+kule,makule,ma+kule,ma+kule,makule,ma+ku+le,ma+ku+le,makule,ma+kule
malambut,prefixation,A_strong_silver,ma+lambut,mal+ambut,mal+ambut,malambut,mal+ambut,mal+ambut,malambut,mal+ambut,mal+ambut,malambut,mal+ambut,mal+ambut,malambut,mal+ambut,mal+ambut,malambut,ma+lam+but,ma+lambut,malambut,ma+lam+but,ma+lam+but,malambut,ma+lam+but,ma+lambut,malambut,ma+lambut
malungkut,prefixation,A_strong_silver,ma+lungkut,mal+ungkut,mal+ungkut,malungkut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,mal+ung+kut,ma+lungkut
manganak,prefixation,A_strong_silver,mang+anak,mangan+ak,mangan+ak,manganak,mang+anak,mang+anak,mang+anak,mang+anak,mang+anak,mang+anak,mang+anak,mang+anak,mang+anak,mang+anak,mang+anak,mang+anak,mang+anak,mang+anak,mang+anak,mang+anak,mang+anak,mang+anak,mangan+ak,mangan+ak,mangan+ak,mang+anak
marangal,prefixation,B_moderate_silver,ma+rangal,marang+al,marangal,marangal,marangal,marangal,marangal,marangal,marangal,marangal,marangal,marangal,marangal,marangal,marangal,marangal,marangal,marangal,marangal,marangal,marangal,marangal,marang+al,marangal,marangal,marangal
masipag,prefixation,A_strong_silver,ma+sipag,mas+ipag,mas+ipag,masipag,mas+ipag,mas+ipag,mas+ipag,mas+ipag,mas+ipag,mas+ipag,ma+sipag,ma+sipag,ma+sipag,ma+si+pag,ma+sipag,ma+sipag,ma+sipag,ma+sipag,ma+sipag,ma+si+pag,ma+sipag,ma+sipag,ma+si+pag,ma+si+pag,ma+sipag,ma+sipag
matuling,prefixation,A_strong_silver,ma+tuling,mat+uling,matuling,matuling,mat+uling,matuling,matuling,mat+uling,matuling,matuling,mat+uling,matuling,matuling,mat+uling,matuling,matuling,mat+uling,matuling,matuling,mat+uli+ng,matuling,matuling,mat+uli+ng,matuling,matuling,matuli+ng
menalig,prefixation,B_moderate_silver,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,men+alig,me+na+lig
menatili,prefixation,B_moderate_silver,men+atili,men+atili,men+atili,menatili,men+atili,menatili,menatili,men+atili,menatili,menatili,men+atili,menatili,menatili,men+atili,menatili,menatili,men+atili,menatili,menatili,men+atili,menatili,menatili,men+atili,men+atili,menatili,menatili
pakakak,prefixation,A_strong_silver,pa+kakak,paka+ka+k,paka+kak,pakakak,paka+ka+k,paka+ka+k,paka+kak,paka+ka+k,paka+kak,paka+kak,paka+ka+k,paka+ka+k,paka+kak,paka+ka+k,paka+ka+k,paka+kak,paka+ka+k,pakaka+k,pakaka+k,paka+ka+k,paka+ka+k,paka+kak,paka+ka+k,paka+ka+k,pakaka+k,paka+ka+k
pakibat,prefixation,B_moderate_silver,pa+kibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat,pakibat
paldas,prefixation,B_moderate_silver,pa+ldas,pal+das,pal+das,paldas,pal+das,paldas,paldas,pal+das,paldas,paldas,pal+das,paldas,paldas,pal+das,paldas,paldas,pal+das,paldas,paldas,pal+das,pal+das,paldas,pal+das,pal+das,paldas,paldas
pamisip,prefixation,F_conflicts_with_reconciliation_evidence,pam+isip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip,pamisip
pampang,prefixation,A_strong_silver,pam+pang,pampang,pampang,pampang,pam+pang,pam+pang,pampang,pam+pang,pam+pang,pam+pang,pam+pang,pam+pang,pam+pang,pam+pang,pam+pang,pam+pang,pam+pang,pam+pang,pam+pang,pampang,pampang,pampang,pam+pang,pam+pang,pam+pang,pampang
pilipinas,prefixation,B_moderate_silver,pi+lipinas,p+ilip+inas,p+ilip+inas,p+ilip+inas,p+ilipinas,p+ilipinas,p+ilipinas,p+ilipinas,p+ilipinas,p+ilipinas,p+ilipinas,p+ilipinas,p+ilipinas,p+ilipin+as,p+ilipin+as,p+ilipin+as,pili+pin+as,pili+pin+as,pili+pin+as,pili+pinas,pili+pinas,pili+pinas,pi+lipin+as,pi+lipin+as,pi+lipin+as,pi+li+pin+as
mabilis,prefixation,A_strong_silver,ma+bilis,mabilis,mabilis,mabilis,mab+ilis,mab+ilis,mab+ilis,ma+bilis,ma+bilis,ma+bilis,ma+bilis,ma+bilis,ma+bilis,ma+bilis,ma+bilis,ma+bilis,ma+bilis,ma+bilis,ma+bilis,ma+bilis,ma+bilis,ma+bilis,ma+bilis,ma+bilis,ma+bilis,mabilis
magaral,prefixation,A_strong_silver,mag+aral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral,magaral
malagwa,prefixation,F_conflicts_with_reconciliation_evidence,ma+lagwa,malag+wa,malag+wa,malagwa,malag+wa,malag+wa,malagwa,malag+wa,malag+wa,malagwa,malag+wa,malag+wa,malagwa,malag+wa,malag+wa,malagwa,malag+wa,malag+wa,malagwa,ma+lag+wa,ma+lag+wa,malagwa,malag+wa,malag+wa,malagwa,malagwa
malangi,prefixation,A_strong_silver,ma+langi,malang+i,malang+i,malangi,malang+i,malang+i,malangi,malang+i,malang+i,malangi,malang+i,malang+i,malangi,malang+i,malang+i,malangi,malang+i,malang+i,malangi,mal+ang+i,malang+i,malangi,ma+langi,ma+langi,malangi,malangi
malino,prefixation,A_strong_silver,ma+lino,malino,malino,malino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,mal+ino,malino
mangamate,prefixation,B_moderate_silver,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,mang+amate,manga+mate
maniabing,prefixation,B_moderate_silver,man+iabing,mani+abing,mani+abing,maniabing,mani+abing,mani+abing,maniabing,mani+abing,mani+abing,maniabing,mani+abing,mani+abing,maniabing,mania+bing,mania+bing,maniabing,mania+bing,mania+bing,maniabing,maniabi+ng,maniabi+ng,maniabing,maniabi+ng,maniabi+ng,maniabing,maniabi+ng
maninap,prefixation,B_moderate_silver,man+inap,man+inap,man+inap,maninap,man+inap,man+inap,maninap,man+inap,man+inap,maninap,man+inap,man+inap,maninap,man+inap,man+inap,maninap,man+inap,man+inap,maninap,man+inap,man+inap,maninap,man+inap,man+inap,maninap,mani+na+p
manyawad,prefixation,A_strong_silver,man+yawad,man+ya+wad,manya+wad,manyawad,man+ya+wad,man+yawad,man+yawad,man+ya+wad,man+yawad,man+yawad,man+ya+wad,man+yawad,man+yawad,man+ya+wad,man+yawad,man+yawad,man+ya+wad,man+yawad,man+yawad,man+ya+wad,man+yawad,man+yawad,man+ya+wad,man+yawad,man+yawad,man+yawad
mapait,prefixation,A_strong_silver,ma+pait,map+ait,map+ait,mapait,map+a+it,mapa+it,mapait,mapa+it,mapa+it,mapait,mapa+it,mapa+it,mapait,mapa+it,mapa+it,mapait,mapa+it,mapa+it,mapait,mapa+it,mapa+it,mapait,mapa+it,mapa+it,mapait,mapa+it
mayubu,prefixation,A_strong_silver,ma+yubu,may+ubu,may+ubu,mayubu,may+ubu,may+ubu,may+ubu,mayu+bu,mayu+bu,mayu+bu,mayu+bu,mayu+bu,mayu+bu,mayu+bu,mayu+bu,mayu+bu,ma+yu+bu,ma+yubu,ma+yubu,mayu+bu,mayu+bu,mayu+bu,mayu+bu,mayu+bu,mayu+bu,ma+yu+bu
pamilya,prefixation,B_moderate_silver,pam+ilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya,pamilya
pangaku,prefixation,B_moderate_silver,pan+gaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku,pangaku
pangaras,prefixation,B_moderate_silver,pang+aras,pang+aras,pang+aras,pangaras,pang+aras,pang+aras,pangaras,pang+aras,pang+aras,pangaras,pang+aras,pang+aras,pangaras,pang+aras,pang+aras,pangaras,panga+ras,panga+ras,pangaras,panga+ras,panga+ras,pangaras,panga+ras,panga+ras,pangaras,panga+ras
pasibayung,prefixation,B_moderate_silver,pa+sibayung,pas+ib+ayung,pasibayung,pasibayung,pasib+ayung,pasibayung,pasibayung,pas+ib+ayung,pasibayung,pasibayung,pas+ib+ayung,pasibayung,pasibayung,pasi+bayung,pasibayung,pasibayung,pasi+bayung,pasibayung,pasibayung,pasi+bayung,pasibayung,pasibayung,pasi+bayung,pasibayung,pasibayung,pasibayu+ng
patawad,prefixation,A_strong_silver,pa+tawad,pat+awad,pat+awad,patawad,pat+aw+ad,pat+aw+ad,pat+awad,pataw+ad,pataw+ad,pataw+ad,pataw+ad,pataw+ad,pataw+ad,pataw+ad,pataw+ad,pataw+ad,pat+awa+d,pat+awa+d,pat+awad,pat+awa+d,pat+awa+d,pat+awad,pat+awad,pat+awad,pat+awad,patawa+d
ipaintulut,prefixation,B_moderate_silver,ipa+intulut,ipa+int+ulut,ipa+int+ulut,ipa+intulut,ipa+int+ulut,ipa+int+ulut,ipaintulut,ipa+int+ulut,ipa+int+ulut,ipa+intulut,ipa+intulut,ipa+intulut,ipa+intulut,ipa+intulut,ipa+intulut,ipaintulut,ipa+intu+lut,ipa+intu+lut,ipaintulut,ipa+int+ulut,ipa+int+ulut,ipa+intulut,ipa+intu+lut,ipa+intu+lut,ipa+intulut,i+paintulut
maestro,prefixation,F_conflicts_with_reconciliation_evidence,maestro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+estro,ma+e+stro
magari,prefixation,B_moderate_silver,ma+gari,mag+ari,mag+ari,magari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari,mag+ari
makalunus,prefixation,A_strong_silver,maka+lunus,makal+unus,makal+unus,makalunus,makal+un+us,makal+unus,makal+unus,makal+un+us,makal+un+us,makal+unus,makal+un+us,makal+unus,makal+unus,makal+un+us,makal+unus,makal+unus,maka+lunus,maka+lunus,maka+lunus,maka+lunus,maka+lunus,maka+lunus,maka+lunus,maka+lunus,maka+lunus,maka+lunus
makasalikut,prefixation,A_strong_silver,maka+salikut,makas+alikut,makas+alikut,makasalikut,maka+salikut,maka+salikut,maka+salikut,maka+salikut,maka+salikut,maka+salikut,maka+salikut,maka+salikut,maka+salikut,maka+salikut,maka+salikut,maka+salikut,maka+salikut,maka+salikut,maka+salikut,maka+sali+kut,maka+salikut,maka+salikut,maka+salikut,maka+salikut,maka+salikut,maka+salikut
mamintu,prefixation,B_moderate_silver,mam+intu,mam+intu,mamintu,mamintu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mam+intu,mamintu
manaliwang,prefixation,B_moderate_silver,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+aliwang,man+ali+wang,man+ali+wang,man+ali+wang,man+aliwang,man+aliwang,man+aliwang,man+aliwang
manyad,prefixation,B_moderate_silver,ma+nyad,man+yad,man+yad,manyad,man+yad,man+yad,manyad,man+yad,man+yad,manyad,man+yad,man+yad,manyad,man+yad,man+yad,manyad,man+yad,man+yad,manyad,man+yad,man+yad,manyad,man+yad,man+yad,manyad,man+ya+d
mapinu,prefixation,A_strong_silver,ma+pinu,map+inu,map+inu,mapinu,map+inu,map+inu,map+inu,ma+pin+u,ma+pin+u,ma+pinu,ma+pin+u,ma+pin+u,ma+pinu,ma+pin+u,ma+pinu,ma+pinu,ma+pin+u,ma+pin+u,ma+pinu,ma+pinu,ma+pinu,ma+pinu,ma+pinu,ma+pinu,ma+pinu,ma+pin+u
masala,prefixation,A_strong_silver,ma+sala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala,masala
masquil,prefixation,B_moderate_silver,ma+squil,mas+qu+il,mas+qu+il,mas+quil,mas+qu+il,mas+quil,mas+quil,mas+qu+il,mas+quil,mas+quil,mas+qu+il,mas+quil,mas+quil,mas+qu+il,mas+quil,mas+quil,mas+qu+il,mas+qu+il,mas+quil,mas+qu+il,mas+quil,mas+quil,mas+qu+il,mas+qu+il,mas+quil,mas+qui+l
mayakit,prefixation,B_moderate_silver,ma+yakit,maya+kit,maya+kit,mayakit,maya+kit,maya+kit,mayakit,maya+kit,maya+kit,mayakit,maya+kit,maya+kit,mayakit,maya+kit,maya+kit,mayakit,maya+kit,maya+kit,mayakit,maya+kit,maya+kit,mayakit,maya+kit,maya+kit,mayakit,m+ayakit
menalakad,prefixation,B_moderate_silver,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+alakad,men+ala+kad,men+ala+kad,men+ala+kad,men+alakad
meninap,prefixation,B_moderate_silver,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+inap,men+in+ap
migdala,prefixation,A_strong_silver,mig+dala,mig+dala,mig+dala,migdala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala,mig+dala
pangaligtas,prefixation,A_strong_silver,panga+ligtas,pangal+igtas,pangal+igtas,pangal+igtas,pang+alig+tas,pang+alig+tas,pang+aligtas,pang+alig+tas,pang+alig+tas,pang+aligtas,pang+alig+tas,pang+alig+tas,pang+aligtas,pang+alig+tas,pang+alig+tas,pang+aligtas,pang+alig+tas,pang+alig+tas,pang+aligtas,pang+alig+tas,pang+alig+tas,pang+alig+tas,pang+alig+tas,pang+alig+tas,pang+alig+tas,panga+ligtas
parusa,prefixation,F_conflicts_with_reconciliation_evidence,pa+rusa,par+usa,parusa,parusa,par+usa,parusa,parusa,par+usa,parusa,parusa,par+usa,parusa,parusa,par+usa,parusa,parusa,pa+rusa,parusa,parusa,pa+rusa,parusa,parusa,paru+sa,parusa,parusa,parusa
patutut,prefixation,B_moderate_silver,pa+tutut,pat+ut+ut,pat+utut,pat+utut,pat+utut,pat+utut,pat+utut,pat+utut,pat+utut,pat+utut,pat+ut+ut,pat+utut,pat+utut,patu+tut,patu+tut,patu+tut,pat+utu+t,pat+utut,pat+utut,pat+utu+t,pat+utu+t,pat+utut,pat+utu+t,pat+utut,pat+utut,patutu+t
manuknangan,prefixation+suffixation,B_moderate_silver,man+uknang+an,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknangan,manuknanga+n
ingatan,prefixation+suffixation,F_conflicts_with_reconciliation_evidence,ingat+an,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan,ingatan
menuknangan,prefixation+suffixation,B_moderate_silver,men+uknang+an,men+uknangan,menuknangan,menuknangan,men+uknangan,menuknangan,menuknangan,men+uknangan,menuknangan,menuknangan,men+uknangan,menuknangan,menuknangan,men+uknangan,menuknangan,menuknangan,men+uknang+an,menuknangan,menuknangan,men+uknang+an,menuknangan,menuknangan,men+uknang+an,menuknangan,menuknangan,m+enuknangan
pibandian,prefixation+suffixation,A_strong_silver,pi+bandi+an,pibandian,pibandian,pibandian,pib+and+ian,pib+and+ian,pib+and+ian,pib+and+ian,pib+and+ian,pib+and+ian,pib+and+ian,pib+and+ian,pib+and+ian,pib+and+ian,pib+and+ian,pib+and+ian,pi+bandi+an,pi+bandi+an,pi+bandi+an,pi+bandi+an,pi+bandi+an,pi+bandi+an,pi+bandi+an,pi+bandi+an,pi+bandi+an,pibandi+an
menibatan,prefixation+suffixation,A_strong_silver,men+ibat+an,menibatan,menibatan,menibatan,menibatan,menibatan,menibatan,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,men+ibat+an,menibatan,menibatan,menibatan,me+nibatan
manibatan,prefixation+suffixation,F_conflicts_with_reconciliation_evidence,man+ibat+an,manibatan,manibatan,manibatan,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an,manibat+an
makanianman,prefixation+suffixation,B_moderate_silver,maka+nianm+an,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makanian+man,makan+ian+man,makan+ian+man,makan+ian+man,makanian+man,makanian+man,makanian+man,makanian+man
macanian,prefixation+suffixation,B_moderate_silver,ma+cani+an,macan+ian,macan+ian,macanian,ma+can+ian,macanian,macanian,macan+ian,macanian,macanian,macan+ian,macanian,macanian,macan+ian,macanian,macanian,mac+anian,macanian,macanian,mac+anian,macanian,macanian,mac+ani+an,macanian,macanian,maca+ni+an
magkailangan,prefixation+suffixation,F_conflicts_with_reconciliation_evidence,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+kailangan,mag+ka+ilangan,magka+ilangan,magka+ilangan,mag+ka+ilangan,mag+ka+ilangan,magka+ilangan,mag+kailangan
masikanan,prefixation+suffixation,F_conflicts_with_reconciliation_evidence,ma+sikan+an,mas+ik+anan,mas+ik+anan,masikanan,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an,masikan+an
pisamban,prefixation+suffixation,B_moderate_silver,pi+samb+an,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban,pisamban
